Link to GitHub Repository,Link to paper,Referencing or not,RQ1 Open Access,RQ2 Relationship between Repository and Paper,RQ2 Diversity of GitHub Repository,RQ2 Affiliation,RQ2 Paper References back to the Repository,RQ3 README evolution,RQ3 Paper evolution
https://github.com/skmhrk1209/WGAN-GP,https://arxiv.org/pdf/1807.04720.pdf,yes,yes,independent unofficial,deep learning,industry,yes to official,different paper,yes
https://github.com/dbermbach/web-api-bench,https://arxiv.org/abs/1903.07712,yes,yes,official,other,university,yes,no,yes
https://github.com/adaerr/pendent-drop,http://dx.doi.org/10.5334/jors.97,yes,yes,official,computer vision,university,yes,no,no
https://github.com/ferasboulala/staff-detect,https://www.researchgate.net/publication/239762647_An_Effective_Staff_Detection_and_Removal_Technique_for_Musical_Documents,yes,yes,independent unofficial,computer vision,industry,no,no,no
https://github.com/google/cog,https://arxiv.org/abs/1803.06092,yes,yes,official,deep learning,both,yes,no,yes
https://github.com/TimSYQQX/BoneNet,https://arxiv.org/abs/1802.10419,yes,yes,fork of official,deep learning,unknow,yes to official,no,yes
https://github.com/hvy/chainer-began,https://arxiv.org/abs/1703.10717,yes,yes,independent unofficial,computer vision,university,no,no,yes
https://github.com/yuxng/ObjectInteraction,https://ieeexplore.ieee.org/document/6755942,yes,yes,official,ml,university,no,no,no
https://github.com/Idein/chainer-pose-proposal-net,http://openaccess.thecvf.com/content_ECCV_2018/papers/Sekii_Pose_Proposal_Networks_ECCV_2018_paper.pdf,yes,yes,independent unofficial,computer vision,industry,no,no,no
https://github.com/ShaowuYang/ORB-SLAM2,https://arxiv.org/abs/1502.00956,yes,yes,fork of official,robotics,university,yes to official,changes to metadata,no
https://github.com/shichaoy/semantic_3d_mapping,https://arxiv.org/abs/1707.07388,yes,yes,official,robotics,university,no,link changes,no
https://github.com/yanshengjia/ml-road,https://arxiv.org/abs/1808.09772,yes,yes,miscellaneous (education),ml,university,yes to official,no,no
https://github.com/OpenKnowledgeMaps/Headstart,,data,,,,,,,
https://github.com/kkew3/pytorch-cw2,https://arxiv.org/abs/1608.04644,yes,yes,independent unofficial,other,university,yes to official,no,no
https://github.com/mpearmain/BayesBoost,https://arxiv.org/abs/1206.2944,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/wondervictor/dpl.pytorch,https://arxiv.org/abs/1705.02429,yes,yes,independent unofficial,deep learning,university,yes to official,no,no
https://github.com/Intro-Quantitative-Geology/Exercise-9,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2013JB010891,yes,yes,miscellaneous (education),other,university,no,no,no
https://github.com/bluevoxel/Specvis-ver-1.0.1,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0186224,yes,yes,official,computer vision,both,yes to official,no,no
https://github.com/FundamentalEq/HybridChatBot,https://www.semanticscholar.org/paper/IRIS%3A-a-Chat-oriented-Dialogue-System-based-on-the-Banchs-Li/9528fa09fbd918618dbd1bac72fe8c24f5574400,yes,yes,independent unofficial,ml,unknow,no,no,no
https://github.com/houssamzenati/Efficient-GAN-Anomaly-Detection,https://arxiv.org/abs/1802.06222,yes,yes,official,deep learning,both,yes to official,no,yes
https://github.com/wazeerzulfikar/Face-Frontalization,https://arxiv.org/abs/1703.10717,yes,yes,independent unofficial,computer vision,university,no,no,no
https://github.com/fy/compare_dp_mechanisms,https://arxiv.org/abs/1401.5193,yes,yes,official,other,university,no,no,no
https://github.com/kcajmagic/AI_Final_Project,https://arxiv.org/abs/1207.4708,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/BoPeng/SOS,https://academic.oup.com/bioinformatics/article/34/21/3768/5001386,yes,yes,fork of official,other,university,yes to official,no,no
https://github.com/phantoms158/Mask-rcnn,https://arxiv.org/abs/1703.06870,yes,yes,independent unofficial,computer vision,industry,yes to official,no,no
https://github.com/lukewenMX/RCNN_simple_detection,https://arxiv.org/abs/1506.01497,yes,yes,independent unofficial,computer vision,university,yes to official,no,no
https://github.com/Silvia333/LostSilence,https://arxiv.org/abs/1903.05372,yes,yes,official,network,both,no,changes to metadata,no
https://github.com/ryancoleman/analysis-scripts,https://onlinelibrary.wiley.com/doi/full/10.1002/prot.22558,yes,yes,official,other,university,no,no,no
https://github.com/AbhishekRS4/fcn,https://people.eecs.berkeley.edu/~jonlong/long_shelhamer_fcn.pdf,yes,yes,independent unofficial,deep learning,industry,yes to official,no,no
https://github.com/lukessmith/hipims-ocl,https://www.researchgate.net/publication/281689623_A_High-Performance_Integrated_hydrodynamic_Modelling_System_for_urban_flood_simulations,yes,yes,official,computer vision,university,no,no,no
https://github.com/koustuvsinha/clutrr,https://arxiv.org/abs/1811.02959,yes,yes,official,NLP,university,yes,no,no
https://github.com/tugstugi/pytorch-saltnet,https://arxiv.org/abs/1505.04597,yes,yes,independent unofficial,computer vision,university,yes to official,no,no
https://github.com/wozhouh/caffe-gdp,https://arxiv.org/abs/1408.5093,yes,yes,fork of official,deep learning,university,yes to official,no,no
https://github.com/eveningglow/semi-supervised-CycleGAN,https://arxiv.org/abs/1703.10593,yes,yes,independent unofficial,computer vision,industry,yes to official,no,yes
https://github.com/ZeWang95/DCFNet-Pytorch,https://arxiv.org/pdf/1802.04145.pdf,yes,yes,independent unofficial,computer vision,university,yes to official,no,no
https://github.com/XiangruiCAI/mce,https://arxiv.org/pdf/1806.02873.pdf,yes,yes,official,NLP,university,yes,link changes,no
https://github.com/neb330/DeepLearningA2,https://arxiv.org/pdf/1409.2329.pdf,yes,yes,miscellaneous (education),deep learning,university,yes to official,no,no
https://github.com/Bartzi/visual-backprop-mxnet,https://arxiv.org/abs/1611.05418,yes,yes,independent unofficial,computer vision,industry,no,no,yes
https://github.com/HsinYingLee/MDMM,https://arxiv.org/abs/1808.00948,yes,yes,fork of official,computer vision,university,yes to official,no,no
https://github.com/BOHRTECHNOLOGY/yellow_submarine,https://arxiv.org/abs/1906.07047,yes,yes,official,quantum physics,industry,yes,no,no
https://github.com/baumgach/acdc_segmenter,https://arxiv.org/abs/1709.04496,yes,yes,official,computer vision,university,yes,link changes,no
https://github.com/skanti/Scan2CAD-Annotation-Webapp,https://arxiv.org/abs/1811.11187,yes,yes,official,computer vision,university,no,no,no
https://github.com/RexxarCHL/library-seat-detection,https://arxiv.org/abs/1506.01497,yes,yes,independent unofficial,computer vision,university,yes to official,no,no
https://github.com/OceanPARCELS/parcels,https://www.geosci-model-dev-discuss.net/gmd-2017-167/gmd-2017-167.pdf,yes,yes,official,other,university,yes,link changes,yes
https://github.com/bbuchfink/diamond,https://www.nature.com/articles/nmeth.3176,yes,yes,official,other,university,yes,no,no
https://github.com/SKA-ScienceDataProcessor/sip-maps-pipeline,https://arxiv.org/abs/1709.02072,yes,yes,independent unofficial,other,industry,no,no,no
https://github.com/ginsongsong/caffe-ssd,https://arxiv.org/abs/1408.5093,yes,yes,fork of official,deep learning,industry,yes to official,no,no
https://github.com/luochuwei/BLEU_for_Response_Generation,https://www.aclweb.org/anthology/P02-1040.pdf,yes,yes,independent unofficial,NLP,university,no,no,no
https://github.com/princeton-vl/pose-ae-demo,https://arxiv.org/abs/1611.05424v2,yes,yes,independent unofficial,computer vision,university,no,no,yes
https://github.com/vivkumar/TryCatchWS,http://users.cecs.anu.edu.au/~steveb/pubs/papers/ws-oopsla-2012.pdf,yes,yes,official,other,both,no,no,no
https://github.com/MAPconciergeInc/GigaPan_Downloader,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064936,yes,yes,fork of official,computer vision,industry,no,no,no
https://github.com/akshat998/3-GRU-Phases-of-Matter,https://arxiv.org/abs/1810.10584,yes,yes,independent unofficial,quantum,university,yes to official,no,yes
https://github.com/CARMinesDouai/pose_path_publisher,https://www.researchgate.net/publication/301953107_Team_Size_Optimization_for_Multi-robot_Exploration,yes,yes,official,robotics,university,no,no,no
https://github.com/ezshen/cs224n-squad,https://web.stanford.edu/class/archive/cs/cs224n/cs224n.1184/reports/6857497.pdf,yes,yes,official,NLP,university,no,link changes,no
https://github.com/zergylord/MyCaffe,https://arxiv.org/abs/1408.5093,yes,yes,independent unofficial,deep learning,unknow,yes to official,no,no
https://github.com/quantum-kite/kite,https://arxiv.org/abs/1910.05194,yes,yes,official,quantum,university,no,no,no
https://github.com/jheo4/gene_classification,https://www.cv-foundation.org/openaccess/content_iccv_2015/papers/He_Delving_Deep_into_ICCV_2015_paper.pdf,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/wasidennis/DeepHarmonization,https://arxiv.org/abs/1703.00069,yes,yes,official,computer vision,both,no,changes to metadata,no
https://github.com/Nilesh1989/Gopher,https://arxiv.org/abs/1701.07179,yes,yes,independent unofficial,ml,industry,no,no,yes
https://github.com/liamb315/CharacterGAN,https://arxiv.org/abs/1406.2661,yes,yes,independent unofficial,nlp,university,yes to official,no,no
https://github.com/dpscience/dquickltfit,https://arxiv.org/abs/0902.2850,yes,yes,independent unofficial,other,university,yes to official,no,no
https://github.com/yukia18/pytorch,https://arxiv.org/abs/1511.06434,yes,yes,independent unofficial,deep learning,unknow,no,no,no
https://github.com/susilehtola/HelFEM,https://arxiv.org/abs/1810.11651,yes,yes,official,other,university,no,no,yes
https://github.com/PalashBansal96/CUDAPathTracerRL,https://github.com/PalashBansal96/CUDAPathTracerRL/blob/master/CUDAPathTracerRLReport.pdf,yes,yes,official,computer vision,university,no,no,no
https://github.com/earcanal/meditation-expertise,https://www.frontiersin.org/articles/10.3389/fnhum.2012.00038/full,yes,yes,independent unofficial,other,unknow,no,no,no
https://github.com/IntelLabs/pWord2Vec,https://arxiv.org/abs/1611.06172,yes,yes,official,ml,university,yes,no,no
https://github.com/varshanth/AuVi_Buddy_-_A_Synergy_of_FER-MER,https://arxiv.org/abs/1609.06782,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/pfnet-research/robust_estimation,https://arxiv.org/abs/1803.09050,yes,yes,independent unofficial,deep learning,industry,yes to official,no,yes
https://github.com/xrf/lutario,https://arxiv.org/abs/1512.06956,yes,yes,independent unofficial,quantum,unknow,no,no,no
https://github.com/Nesvilab/FragPipe,https://www.nature.com/articles/nmeth.4256,yes,yes,independent unofficial,other,industry,yes to official,no,no
https://github.com/kate-harrison/west,,no,,,,,,,
https://github.com/kbroman/MUGAarrays,,data,,,,,,,
https://github.com/khughitt/eve,https://bmcmedgenomics.biomedcentral.com/articles/10.1186/1755-8794-7-20,yes,yes,independent unofficial,other,industry,no,no,no
https://github.com/garawalid/Multilingual-Unsupervised-Embeddings,https://arxiv.org/pdf/1710.04087.pdf,yes,yes,independent unofficial,nlp,industry,yes to official,no,no
https://github.com/yihui-he/MNC-for-ultrasound-segmentation,https://arxiv.org/abs/1512.04412,yes,yes,independent unofficial,computer vision,university,no,change to metadata,no
https://github.com/doitfast1006/Virtual-Try-on,https://arxiv.org/abs/1709.04695,yes,yes,independent unofficial,computer vision,unknow,no,no,no
https://github.com/OctThe16th/BetterTrainingDataMnist_RL_GAN,https://arxiv.org/abs/1707.06347,yes,yes,independent unofficial,deep learning,unknow,no,no,yes
https://github.com/pathak22/unsupervised-video,https://arxiv.org/abs/1612.06370,yes,yes,official,computer vision,both,no,no,no
https://github.com/kongshuchen/retinanet,https://arxiv.org/abs/1708.02002,yes,yes,independent unofficial,computer vision,university,yes to official,no,no
https://github.com/josephinius/CTMRG,https://arxiv.org/abs/cond-mat/9507087v5,yes,yes,independent unofficial,other,unknow,no,no,no
https://github.com/MrtnMndt/Rethinking_CNN_Layerwise_Feature_Amounts,https://arxiv.org/abs/1812.05836,yes,yes,official,deep learning,university,yes,link changes,no
https://github.com/scienceguyrob/PulsarFeatureExtractor,,no,,,,,,,
https://github.com/amjsmith/hod,https://arxiv.org/abs/1701.06581,yes,yes,independent unofficial,other,unknow,yes to official,no,no
https://github.com/murrman95/INF573Project2018,https://arxiv.org/pdf/1511.04587.pdf,yes,yes,independent unofficial,computer vision,university,no,no,no
https://github.com/gmayday1997/SceneChangeDet,https://ieeexplore.ieee.org/document/6238919,yes,yes,independent unofficial,computer vision,university,yes to official,diifferent paper,no
https://github.com/minyoungg/WMIGFTL,https://arxiv.org/abs/1608.08614,yes,yes,official,deep learning,industry,no,no,no
https://github.com/abinashsinha330/Solve-Air-Air-Pollution-Forecasting-using-Deep-Attentive-Sequence-Learning,https://arxiv.org/abs/1809.04206v2,yes,yes,independent unofficial,deep learning,university,yes to official,no,yes
https://github.com/dnbaker/frp,https://arxiv.org/abs/1703.00864,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/andyweizhao/SequenceRL,https://arxiv.org/abs/1609.05473,yes,yes,independent unofficial,deep learning,university,yes to official,no,yes
https://github.com/alexduer/squad-gated-rep,https://www.semanticscholar.org/paper/Gated-Self-Matching-Networks-for-Reading-and-Wang-Yang/b798cfd967e1a9ca5e7bc995d33a907bf65d1c7f,yes,yes,independent unofficial,nlp,unknow,no,no,no
https://github.com/ryankiros/visual-semantic-embedding,https://arxiv.org/abs/1411.2539,yes,yes,official,deep learning,university,no,no,no
https://github.com/lx865712528/EMNLP2018-JMEE,https://arxiv.org/abs/1809.09078,yes,yes,official,NLP,university,yes,link changes,no
https://github.com/unbase/unbase,https://arxiv.org/abs/1509.05393,yes,yes,independent unofficial,other,unknow,no,no,no
https://github.com/risi-kondor/pMMF,https://arxiv.org/abs/1507.04396,yes,yes,official,other,university,no,no,no
https://github.com/jiesutd/YEDDA,https://arxiv.org/pdf/1711.03759.pdf,yes,yes,official,NLP,university,yes,no,no
https://github.com/joergwicker/scavenger,https://www.researchgate.net/publication/300544275_Scavenger_-_A_Framework_for_Efficient_Evaluation_of_Dynamic_and_Modular_Algorithms,yes,yes,official,ml,university,yes,no,no
https://github.com/kjgarza/frame_experiment_analysis,,data,,,,,,,
https://github.com/nicola-decao/s-vae-pytorch,https://arxiv.org/abs/1804.00891,yes,yes,official,ml,university,no,no,yes
https://github.com/gangadhar-p/NucleiDetectron,https://arxiv.org/abs/1703.06870,yes,yes,independent unofficial,computer vision,unknow,yes to official,no,no
https://github.com/kmalialis/resource_abstraction,https://arxiv.org/abs/1903.05431,yes,yes,official,ml,university,no,link changes,no
https://github.com/facebookresearch/ParlAI,https://arxiv.org/abs/1705.06476,yes,yes,official,nlp,industry,yes,no,yes
https://github.com/ZJULearning/DREN,https://arxiv.org/abs/1705.08623,yes,yes,independent unofficial,deep learning,unknow,yes to official,no,yes
https://github.com/halloTheCoder/ContextualSLUChatBot,https://www.csie.ntu.edu.tw/~yvchen/doc/IS16_ContextualSLU.pdf,yes,yes,independent unofficial,nlp,unknow,no,no,no
https://github.com/Phutoast/Stable-Multi-Agent-Reinforcement-Learning,https://www.sciencedirect.com/science/article/pii/S0004370202001212,yes,yes,independent unofficial,ml,university,no,no,no
https://github.com/nicola-gigante/bitvector,https://link.springer.com/chapter/10.1007%2F978-3-319-15579-1_46,yes,yes,official,other,university,yes,no,no
https://github.com/kratsg/xAODJetReclustering,https://arxiv.org/pdf/0903.0392v1.pdf,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/EnvModellingGroup/hrds,https://www.researchgate.net/publication/333057394_HRDS_A_Python_package_for_hierarchical_raster_datasets,yes,yes,official,other,university,yes,no,no
https://github.com/jeeberhardt/visualize,,data,,,,,,,
https://github.com/dmakian/feudal_networks,https://arxiv.org/abs/1703.01161,yes,yes,independent unofficial,deep learning,unknow,no,no,no
https://github.com/farhiongit/dancing-links,https://arxiv.org/abs/cs/0011047,yes,yes,independent unofficial,other,unknow,no,no,no
https://github.com/musyoku/chainer-glow,https://arxiv.org/abs/1807.03039,yes,yes,independent unofficial,computer vision,unknow,yes to official,no,no
https://github.com/ececyh/baselines,,no,,,,,,,
https://github.com/MiuLab/CLUSE,https://arxiv.org/abs/1809.05694,yes,yes,official,nlp,university,yes,no,yes
https://github.com/gyhui14/spottune,https://arxiv.org/abs/1811.08737,yes,yes,independent unofficial,deep learning,unknow,no,no,no
https://github.com/DiRAC-benchmarks/Grid-Cloud-Testing,https://arxiv.org/abs/1512.03487,yes,yes,independent unofficial,other,unknow,no,no,no
https://github.com/jizhuoran/SVD_Compression,https://arxiv.org/abs/1408.5093,yes,yes,fork of official,deep learning,industry,yes to official,no,no
https://github.com/austinschneider/MCLLH,https://link.springer.com/article/10.1007%2FJHEP06%282019%29030,yes,yes,official,other,university,no,change to metadata,no
https://github.com/gonzazarza/sim-mgmt-tool,https://www.sciencedirect.com/science/article/pii/S1877050912003122?via%3Dihub,yes,yes,official,other,university,no,no,no
https://github.com/sanshu/protaeljs,,data,,,,,,,
https://github.com/bguillouet/trajectory_distance,https://arxiv.org/abs/1508.04904,yes,yes,official,ml,university,yes,no,no
https://github.com/whitesockcat/Discriminative-Feature-Network,https://arxiv.org/abs/1804.09337,yes,yes,independent unofficial,computer vision,unknow,no,no,no
https://github.com/smdYe/Keras_The-One-Hundred-Layers-Tiramisu,https://arxiv.org/abs/1611.09326,yes,yes,independent unofficial,computer vision,unknow,yes to official,no,no
https://github.com/iamyuanchung/csdnn,https://arxiv.org/abs/1511.09337,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/shivam7066/Early-Stage-Malware-Prediction-using-Deep-Learning,https://arxiv.org/abs/1708.03513,yes,yes,fork of official,other,university,yes to official,no,no
https://github.com/lambtron/botson-extension,https://arxiv.org/abs/1602.00975,yes,yes,independent unofficial,other,industry,no,no,no
https://github.com/angry-tony/loglizer,https://ieeexplore.ieee.org/document/7774521,yes,yes,official,other,unknow,no,no,no
https://github.com/pjotrp/bioruby-exominer,https://academic.oup.com/bioinformatics/article/26/20/2617/194139,yes,yes,official,other,both,yes to official,no,no
https://github.com/feiwu77777/Finding_unique_faces,https://arxiv.org/abs/1612.04402,yes,yes,independent unofficial,computer vision,unknow,yes to official,no,no
https://github.com/heljakka/pioneer,https://arxiv.org/abs/1807.03026,yes,yes,official,computer vision,both,yes to official,no,no
https://github.com/Ireneruru/Pix2pix_tensorflow,https://arxiv.org/abs/1611.07004?context=cs,yes,yes,independent unofficial,computer vision,university,yes to official,no,yes
https://github.com/RsynTeam/rsyn-x,https://dl.acm.org/doi/10.1145/3036669.3038249,yes,yes,official,other,university,yes to official,no,no
https://github.com/aravindr93/hand_dapg,https://arxiv.org/abs/1709.10087,yes,yes,official,robotics,both,yes to official,no,no
https://github.com/AlenUbuntu/Relational-Network-Pytorch,https://arxiv.org/pdf/1706.01427.pdf,yes,yes,independent unofficial,nlp,university,no,no,no
https://github.com/santanupal1980/HybridMT-2014,,no,,,,,,,
https://github.com/sethneel/fairness_gerrymandering,https://arxiv.org/abs/1711.05144,yes,yes,official,ml,both,yes to official,no,yes
https://github.com/Benzlxs/stereo_matching_slanted_support,https://www.researchgate.net/publication/298329756_Efficient_methods_using_slanted_support_windows_for_slanted_surfaces,yes,yes,independent unofficial,other,university,no,no,no
https://github.com/MultithreadCorner/Hydra,https://inspirehep.net/record/1636201/files/arXiv:1711.05683.pdf,yes,yes,official,other,university,yes,no,no
https://github.com/aaronsnoswell/irl_methods,http://ai.stanford.edu/~ang/papers/icml00-irl.pdf,yes,yes,independent unofficial,ml,both,no,no,no
https://github.com/erikgahner/aas2015,https://science.sciencemag.org/content/335/6073/1177,yes,yes,miscellaneous(education),other,industry,no,no,no
https://github.com/shawnxu1318/Google-Neural-Machine-Translation-GNMT-,https://arxiv.org/abs/1609.08144,yes,yes,independent unofficial,nlp,university,no,no,no
https://github.com/ceruleanacg/Personae,https://arxiv.org/abs/1509.02971,yes,yes,independent unofficial,ml,university,no,no,yes
https://github.com/simras/CLAP,https://www.biorxiv.org/content/10.1101/042986v3,yes,yes,official,other,both,no,no,no
https://github.com/nisargjhaveri/news-access,https://www.aclweb.org/anthology/L18-1507.pdf,yes,yes,official,nlp,university,yes,no,no
https://github.com/sannebh/riskaverse,https://arxiv.org/pdf/1710.10044.pdf,yes,yes,independent unofficial,ml,unknow,no,no,no
https://github.com/Johnny-Wish/GAN-metrics,https://arxiv.org/pdf/1801.01973.pdf,yes,yes,independent unofficial,deep learning,university,no,no,no
https://github.com/TiedNets/TiedNets,https://arxiv.org/pdf/1510.08380.pdf,yes,yes,official,networks,university,no,no,no
https://github.com/mathhobbit/EditCalculateAndChart,https://arxiv.org/abs/1405.5548,yes,yes,official,other,university,no,no,no
https://github.com/QuantumAgent/QDD_Net,https://arxiv.org/abs/1804.09541,yes,yes,independent unofficial,nlp,unknow,no,no,no
https://github.com/axhue/DDQRN,https://arxiv.org/abs/1509.06461,yes,yes,independent unofficial,ml,unknow,no,no,no
https://github.com/larics/assisi-arena-ui,,data,,,,,,,
https://github.com/KitwareMedical/pyLAR,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4857018/,yes,yes,independent unofficial,computer vision,both,no,no,no
https://github.com/vonwenm/chromaprint,https://ieeexplore.ieee.org/document/5312768,yes,yes,independent unofficial,ml,industry,no,no,no
https://github.com/sbalian/spindec,,no,,,,,,,
https://github.com/radekosmulski/tgs_salt_solution,https://arxiv.org/abs/1505.04597,yes,yes,independent unofficial,deep learning,unknow,yes to offcial,no,no
https://github.com/gunhoo/Drone-Tracking,https://dl.acm.org/doi/10.1145/3307334.3328613,yes,yes,official,deep learning,university,no,no,no
https://github.com/SilvioGiancola/TrackingNet-devkit,https://ivul.kaust.edu.sa/Documents/Publications/2018/TrackingNet%20A%20Large%20Scale%20Dataset%20and%20Benchmark%20for%20Object%20Tracking%20in%20the%20Wild.pdf,yes,yes,official,computer vision,university,no,no,no
https://github.com/BaronYSYong/opencv-test,,no avaliable,,,,,,,
https://github.com/textmining-project/ArgumentMining-Backend,https://arxiv.org/abs/1604.07370,yes,yes,independent unofficial,nlp,university,no,no,no
https://github.com/max-andr/joint-cnn-mrf,http://papers.nips.cc/paper/5573-joint-training-of-a-convolutional-network-and-a-graphical-model-for-human-pose-estimation,yes,yes,independent unofficial,computer vision,university,no,link changes,no
https://github.com/sebastianGehrmann/bottom-up-summary,https://arxiv.org/pdf/1808.10792.pdf,yes,yes,official,nlp,university,yes to offcial,no,yes
https://github.com/antran89/BoW_frameworks,https://ieeexplore.ieee.org/document/7410728,yes,yes,official,computer vision,university,no,no,no
https://github.com/bthoven/planckt,https://arxiv.org/abs/1807.06209,yes,yes,independent unofficial,other,industry,no,no,yes
https://github.com/NervanaSystems/ngraph-python,https://arxiv.org/pdf/1801.08058.pdf,yes,yes,official,deep learning,industry,no,no,no
https://github.com/ijmarshall/robotreviewer_old,https://academic.oup.com/jamia/article/23/1/193/2379921,yes,yes,official,nlp,university,no,no,no
https://github.com/mgalardini/pyseer,https://academic.oup.com/bioinformatics/article/34/24/4310/5047751,yes,yes,official,other,university,yes,no,no
https://github.com/unsuthee/SemanticHashingWeakSupervision,https://dl.acm.org/doi/10.1145/3209978.3210090,yes,yes,official,deep learning,university,no,no,no
https://github.com/BDNYC/astrodbkit,,data,,,,,,,
https://github.com/luke-gregor/Thomalla2017_quenching,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.1002/lom3.10234,yes,yes,official,other,both,no,no,no
https://github.com/aeantipov/opendf,https://www.sciencedirect.com/science/article/pii/S1875389215007178?via%3Dihub,yes,yes,official,other,university,no,no,no
https://github.com/zrobertson466920/pybdm,https://arxiv.org/pdf/1609.00110.pdf,yes,yes,independent unofficial,other,university,yes to offcial,no,no
https://github.com/luizaes/sca-algorithm,https://www.sciencedirect.com/science/article/abs/pii/S0950705115005043?via%3Dihub,yes,yes,independent unofficial,other,university,yes to offcial,no,no
https://github.com/angeladai/ScanComplete,https://arxiv.org/pdf/1712.10215.pdf,yes,yes,official,computer vision,both,no,no,yes
https://github.com/jwieting/charagram,https://arxiv.org/abs/1607.02789,yes,yes,official,nlp,university,no,no,no
https://github.com/mrahtz/musical-pattern-recognition-in-spiking-neural-networks,http://amid.fish/beng_project_report.pdf,yes,yes,official,deep learning,industry,no,no,no
https://github.com/MShudrak/IDAmetrics,https://www.researchgate.net/publication/312577578_Improving_Fuzzing_Using_Software_Complexity_Metrics,yes,yes,official,other,university,no,no,no
